FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
1.000000e+07 [-0.41, -25.70] [-0.21, -24.70] [-0.01, -23.70]
1.038189e+07 [0.28, -25.94] [0.48, -24.94] [0.68, -23.94]
1.077836e+07 [-0.20, -29.78] [0.00, -28.78] [0.20, -27.78]
1.118997e+07 [0.04, -28.35] [0.24, -27.35] [0.44, -26.35]
1.161731e+07 [0.00, -30.01] [0.20, -29.01] [0.40, -28.01]
1.206096e+07 [-0.54, -28.48] [-0.34, -27.48] [-0.14, -26.48]
1.252155e+07 [-0.32, -30.11] [-0.12, -29.11] [0.08, -28.11]
1.299974e+07 [-0.04, -33.66] [0.16, -32.66] [0.36, -31.66]
1.349618e+07 [-0.29, -34.39] [-0.09, -33.39] [0.11, -32.39]
1.401158e+07 [-0.22, -35.81] [-0.02, -34.81] [0.18, -33.81]
1.454667e+07 [-0.10, -35.35] [0.10, -34.35] [0.30, -33.35]
1.510219e+07 [-0.13, -37.70] [0.07, -36.70] [0.27, -35.70]
1.567893e+07 [-0.41, -38.51] [-0.21, -37.51] [-0.01, -36.51]
1.627769e+07 [-0.25, -41.44] [-0.05, -40.44] [0.15, -39.44]
1.689931e+07 [-0.22, -42.71] [-0.02, -41.71] [0.18, -40.71]
1.754468e+07 [-0.35, -44.48] [-0.15, -43.48] [0.05, -42.48]
1.821469e+07 [-0.47, -47.15] [-0.27, -46.15] [-0.07, -45.15]
1.891029e+07 [-0.20, -47.30] [0.00, -46.30] [0.20, -45.30]
1.963245e+07 [-0.27, -48.09] [-0.07, -47.09] [0.13, -46.09]
2.038219e+07 [-0.23, -50.26] [-0.03, -49.26] [0.17, -48.26]
2.116056e+07 [-0.25, -51.64] [-0.05, -50.64] [0.15, -49.64]
2.196866e+07 [-0.21, -53.43] [-0.01, -52.43] [0.19, -51.43]
2.280762e+07 [-0.38, -55.55] [-0.18, -54.55] [0.02, -53.55]
2.367862e+07 [-0.19, -58.32] [0.01, -57.32] [0.21, -56.32]
2.458288e+07 [-0.45, -59.72] [-0.25, -58.72] [-0.05, -57.72]
2.552167e+07 [-0.21, -61.66] [-0.01, -60.66] [0.19, -59.66]
2.649631e+07 [-0.31, -64.03] [-0.11, -63.03] [0.09, -62.03]
2.750818e+07 [-0.35, -65.23] [-0.15, -64.23] [0.05, -63.23]
2.855868e+07 [-0.18, -69.87] [0.02, -68.87] [0.22, -67.87]
2.964930e+07 [-0.06, -71.27] [0.14, -70.27] [0.34, -69.27]
3.078158e+07 [-0.35, -74.88] [-0.15, -73.88] [0.05, -72.88]
3.195709e+07 [-0.27, -77.15] [-0.07, -76.15] [0.13, -75.15]
3.317750e+07 [-0.12, -80.40] [0.08, -79.40] [0.28, -78.40]
3.444451e+07 [-0.14, -82.41] [0.06, -81.41] [0.26, -80.41]
3.575990e+07 [-0.32, -86.72] [-0.12, -85.72] [0.08, -84.72]
3.712553e+07 [-0.39, -88.86] [-0.19, -87.86] [0.01, -86.86]
3.854331e+07 [-0.43, -92.24] [-0.23, -91.24] [-0.03, -90.24]
4.001524e+07 [-0.24, -96.73] [-0.04, -95.73] [0.16, -94.73]
4.154338e+07 [-0.39, -100.33] [-0.19, -99.33] [0.01, -98.33]
4.312987e+07 [-0.32, -103.02] [-0.12, -102.02] [0.08, -101.02]
4.477695e+07 [-0.41, -107.52] [-0.21, -106.52] [-0.01, -105.52]
4.648693e+07 [-0.25, -111.80] [-0.05, -110.80] [0.15, -109.80]
4.826221e+07 [-0.41, -116.73] [-0.21, -115.73] [-0.01, -114.73]
5.010529e+07 [-0.26, -120.35] [-0.06, -119.35] [0.14, -118.35]
5.201875e+07 [-0.24, -125.05] [-0.04, -124.05] [0.16, -123.05]
5.400529e+07 [-0.36, -129.51] [-0.16, -128.51] [0.04, -127.51]
5.606769e+07 [-0.33, -134.64] [-0.13, -133.64] [0.07, -132.64]
